# Крупные города мира, 1830–1850
# Справочник для моддинга (terrain = urban, приоритеты развития, RGO/фабрики)
# Оценка по численности, политическому статусу и экономической роли эпохи.
# Население — порядок величины к ~1840, не точная перепись.

# =============================================================================
# КАТЕГОРИЯ 3 — развитые мегаполисы и мировые центры
# (~250 000+ жителей или доминирующий глобальный/имперский статус)
# =============================================================================

## Западная Европа
London              | Великобритания | ~2 000 000 | Имперская столица, финансы, промышленность
Paris               | Франция        | ~1 000 000 | Столица, культура, революции 1830/1848
Dublin              | Ирландия (UK)  | ~350 000   | Второй город Британских островов

## Центральная и Восточная Европа
Vienna              | Австрия        | ~300 000   | Столица империи, консервативный центр
Berlin              | Пруссия        | ~280 000   | Растущая столица, промышленность
Moscow              | Россия         | ~350 000   | Старый центр, торговля и администрация
Saint Petersburg    | Россия         | ~450 000   | Имперская столица, порт, европеизация
Warsaw              | Польша (Росс.) | ~140 000   | Крупнейший город бывшего Речи Посполитой*
Naples              | Неаполитанское | ~400 000   | Крупнейший город Италии до объединения
*Warsaw — пограничный случай: политический вес выше численности

## Средиземноморье и Ближний Восток
Constantinople      | Османская имп. | ~500 000   | Столица, проливы, ремёсла
Cairo               | Египет         | ~300 000   | Мухаммед Али — модернизация, хлопок
Alexandria          | Египет         | ~100 000→  | Растущий порт (к 1850 ближе к кат. 2–3)

## Южная Азия
Calcutta            | Британская Индия | ~400 000 | Столица Бенгалии, опиум, чай, текстиль
Bombay              | Британская Индия | ~200 000 | Порт, хлопок; к 1850 быстрый рост
Madras              | Британская Индия | ~180 000 | Южный президенский центр
Delhi               | Сев. Индия     | ~200 000   | Старый имперский центр, восстановление
Lahore              | Пенджаб        | ~200 000   | Сикхское/пограничное значение
Lucknow             | Оудх           | ~250 000   | Дворцовый центр, 1857 — ключевой
Hyderabad           | Голконда       | ~200 000   | Княжество, алмазы, текстиль

## Восточная Азия
Beijing             | Цин           | ~900 000–1 200 000 | Столица, гранд-канал
Guangzhou           | Цин (Кантон)  | ~600 000–1 000 000 | Единственный «открытый» порт до 1842
Shanghai            | Цин           | ~200 000→  | После Нанкинского договора — взрывной рост
Edo                 | Япония (Токугава) | ~1 000 000 | Де-факто столица сёгуната
Osaka               | Япония        | ~350 000   | Торговый «кухонный город»
Kyoto               | Япония        | ~400 000   | Императорский резиденциальный центр

## Северная Америка
New York            | США           | ~310 000 (1850) | Главный порт, иммиграция, финансы
Philadelphia        | США           | ~220 000   | Бывш. столица, промышленность
Baltimore           | США           | ~100 000→  | Порт, ж.д. к 1850

## Латинская Америка (крупнейшие того периода)
Mexico City         | Мексика       | ~200 000   | Столица, серебро прошлого, центр Нов. Испании
Rio de Janeiro      | Бразилия      | ~150 000   | Столица империи
Buenos Aires        | Аргентина     | ~80 000→   | Порт, шкуры; к 1850 категория 2–3
Lima                | Перу          | ~80 000    | Вице-королевский центр
Havana              | Куба (Исп.)   | ~100 000   | Сахар, ключ Кариб


# =============================================================================
# КАТЕГОРИЯ 2 — средние города (региональные центры)
# (~50 000–250 000 или важный провинциальный/колониальный узел)
# =============================================================================

## Западная Европа
Manchester          | UK | ~180 000 | Текстиль, «фабричная революция»
Birmingham          | UK | ~150 000 | Металл, машиностроение
Liverpool           | UK | ~220 000 | Трансатлантическая торговля, рабство
Glasgow             | UK | ~150 000 | Судостроение, тяжёлая промышленность
Leeds               | UK | ~120 000 | Текстиль
Bristol             | UK | ~100 000 | Порт, промышленность
Edinburgh           | UK | ~130 000 | Шотландская столица, просвещение
Hamburg             | Германия | ~150 000 | Ганза, торговля
Munich              | Бавария | ~80 000 | Столица королевства
Cologne             | Пруссия/Рейн | ~80 000 | Рур, торговля
Frankfurt           | Германский союз | ~60 000 | Ярмарки, финансы
Dresden             | Саксония | ~80 000 | Культура, ремёсла
Leipzig             | Саксония | ~50 000 | Ярмарки, издательское дело
Prague              | Богемия | ~100 000 | Промышленность, администрация
Budapest            | Венгрия (Австр.) | ~80 000 | Дунай, растущий центр
Milan               | Ломбардия | ~120 000 | Австрийская Италия, текстиль
Turin               | Сардиния | ~80 000 | Савойя, ранняя индустриализация
Venice              | Ломбардия | ~100 000 | Упадок, но порт и туризм эпохи
Rome                | Папская обл. | ~150 000 | Религиозный центр
Marseille           | Франция | ~120 000 | Средиземноморский порт
Lyon                | Франция | ~150 000 | Шёлк, химия
Bordeaux            | Франция | ~90 000  | Вино, Атлантика
Madrid              | Испания | ~220 000 | Столица
Barcelona           | Испания | ~150 000 | Текстиль, торговля
Lisbon              | Португалия | ~150 000 | Столица, колониальная торговля
Amsterdam           | Нидерланды | ~200 000 | Торговля, колонии
Brussels            | Бельгия | ~100 000 | Новая промышленность (1830 независимость)
Antwerp             | Бельгия | ~80 000  | Порт после отделения Голландии
Copenhagen          | Дания | ~120 000 | Балтика
Stockholm           | Швеция | ~80 000  | Столица, лес, руда
Oslo (Christiania)  | Норвегия | ~30 000→ | Столица после 1814

## Восточная Европа и Балканы
Kiev                | Россия | ~50 000  | Юг Руси, торговля
Odessa              | Россия | ~60 000  | Чёрноморский порт, зерно
Riga                | Россия | ~50 000  | Балтийский порт
Athens              | Греция | ~50 000  | Столица после 1830
Belgrade            | Сербия | ~25 000→ | Освобождение, рост
Bucharest           | Валахия | ~60 000 | Дунай
Thessaloniki        | Османская | ~60 000 | Балканская торговля
Smyrna (Izmir)      | Османская | ~100 000 | Торговля с Европой
Damascus            | Сирийский эялет | ~80 000
Aleppo              | Сирия | ~100 000 | Караваны, упадок к 1850
Baghdad             | Османская/Перс. | ~80 000
Tehran              | Персия | ~50 000  | Каджары, центр
Isfahan             | Персия | ~80 000  | Старый культурный центр

## Южная Азия
Karachi             | Синд | ~20 000→ | Порт, рост под Британией
Surat               | Гуджарат | ~100 000 | Упадший, но важный порт
Benares (Varanasi)  | Оудх/Брит. | ~200 000 | Святой город, ремёсла
Patna               | Бихар | ~150 000 | Опиум, торговля
Murshidabad         | Бенгалия | ~80 000 | Бывш. навабская столица
Mysore              | Майсур | ~80 000  | Текстиль, княжество
Pune                | Маратхи | ~80 000 | Военно-политический центр
Agra                | Сев. Индия | ~80 000 | Могольское наследие
Rangoon             | Бирма | ~50 000  | Порт, рис

## Юго-Восточная Азия
Manila              | Исп. Филиппины | ~80 000 | Галеонная торговля
Batavia (Jakarta)   | Нид. Индии | ~50 000 | Колониальный центр
Bangkok             | Сиам | ~50 000  | Растущая столица
Saigon              | Кохинхина | ~30 000→ | Франц. колонизация с 1850-х
Hanoi               | Тонкин | ~50 000  | Вьетнам
Singapore           | Стрейты | ~10 000→ | Основан 1819, к 1850 — ключевой порт
Penang              | Стрейты | ~20 000  | Торговля

## Восточная Азия (Китай — помимо кат. 3)
Nanjing             | Цин | ~200 000 | Бывшая столица, опиумные войны
Hangzhou            | Цин | ~300 000 | Цзяннань, шёлк
Suzhou              | Цин | ~250 000 | Ремёсла, каналы
Wuhan (Hankou)      | Цин | ~200 000 | Середина Янцзы
Chengdu             | Сычуань | ~200 000 | Западный узел
Xi'an               | Шэньси | ~150 000 | Северо-запад
Fuzhou              | Фуцзянь | ~150 000 | Чай, после 1842 — порт
Xiamen (Amoy)       | Фуцзянь | ~100 000 | Договорный порт
Ningbo              | Чжэцзян | ~100 000 | Порт
Macau               | Португалия | ~30 000 | Старый форпост
Hong Kong           | UK с 1842 | ~5 000→ | Новая колония
Nagasaki            | Япония | ~30 000  | Единственный «голландский» порт
Yokohama            | Япония | — | Ещё деревня до 1859 (не включать в 1850)

## Ближний Восток и Северная Африка
Jerusalem           | Османская | ~15 000→ | Религиозный центр, паломничество
Beirut              | Ливан | ~40 000  | Торговля, шёлк
Tunis               | Бейлик/регент | ~80 000
Algiers             | Осман./Франц. | ~80 000 | Захват 1830
Fez                 | Марокко | ~80 000  | Старый имперский центр
Marrakesh           | Марокко | ~60 000
Tripoli             | Османская | ~30 000
Timbuktu            | Сахель | ~10 000  | Упадок, но символический центр

## Африка южнее Сахары
Cape Town           | Капская колония | ~20 000 | Порт, путь в Индию
Durban              | Наталь | ~5 000→ | Нем. и брит. поселенцы
Zanzibar            | Султанат | ~20 000 | Рабство, пряности
Kano                | Сокото/Хауса | ~40 000 | Сахельская торговля
Kumasi              | Ашанти | ~20 000  | Золото

## Северная Америка
Boston              | США | ~100 000 | Текстиль, образование
New Orleans         | США | ~100 000 | Хлопок, Миссисипи
Cincinnati          | США | ~50 000  | «Поркополис», запад
Chicago             | США | ~5 000→  | К 1850 — растущий узел
St Louis            | США | ~80 000  | Река, фронтир
Washington          | США | ~40 000  | Столица
Montreal            | Канада | ~50 000 | Мех, лес
Quebec City         | Канада | ~30 000 | Старый центр
Toronto             | Канада | ~30 000 | Верхняя Канада
Mexico (secondary)  | | |
Guadalajara         | Мексика | ~40 000
Puebla              | Мексика | ~50 000

## Латинская Америка и Карибы
Santiago            | Чили | ~80 000
Valparaiso          | Чили | ~40 000 | Порт
Bogotá              | Нов. Гранада | ~50 000
Caracas             | Венесуэла | ~50 000
Quito               | Эквадор | ~40 000
Lima (см. выше)     | | |
Potosí              | Боливия | ~20 000 | Серебро в упадке
La Paz              | Боливия | ~30 000
Montevideo          | Уругвай | ~30 000
Asunción            | Парагвай | ~20 000
Salvador            | Бразилия | ~80 000 | Баия
Recife              | Бразилия | ~50 000
São Paulo           | Бразилия | ~30 000→ | Кофе, к 1850 рост
Port-au-Prince      | Гаити | ~30 000
Santo Domingo       | Hispaniola | ~20 000
Kingston            | Ямайка | ~30 000
Port of Spain       | Тринидад | ~20 000

## Австралия и Океания
Sydney              | NSW | ~35 000 | Каторга → колония
Melbourne           | Порт-Филлип | ~20 000→ | Золото с 1851 — позже взрыв
Hobart              | Тасмания | ~20 000
Auckland            | Нов. Зеландия | ~3 000→ | Основан 1840


# =============================================================================
# КАТЕГОРИЯ 1 — малые, но заметные города и узлы
# (~10 000–50 000 или стратегический/промышленный значение при меньшей численности)
# =============================================================================

## Западная Европа (промышленные и портовые)
Sheffield           | UK | Текстиль, сталь (ранняя)
Newcastle           | UK | Уголь, корабли
Nottingham          | UK | Кружева
Portsmouth          | UK | Верфи
Plymouth            | UK | Военно-морская база
Cardiff             | UK | Уголь Уэльса
Lille               | Франция | Текстиль
Rouen               | Франция | Порт, хлопок
Nantes              | Франция | Атлантика
Toulouse            | Франция | Юг
Strasbourg          | Франция | Рейн
Nuremberg           | Германия | Ремёсла, игрушки
Stuttgart           | Вюртемберг | ~40 000
Bremen              | Германия | Порт
Lübeck              | Германия | Ганза
Krakow              | Австрия/Польша | Культурный центр
Lviv (Lemberg)      | Галиция | ~50 000
Gdansk (Danzig)     | Пруссия | Порт
Rotterdam           | Нидерланды | Порт
The Hague           | Нидерланды | Администрация
Geneva              | Швейцария | Финансы, дипломатия
Zurich              | Швейцария | Текстиль
Basel               | Швейцария | Торговля
Genoa               | Италия | Порт
Florence            | Тоскана | ~80 000 | Ремёсла, искусство
