# State/region names (TAG_id);x;X;X;X;X;X
EGY_917;Палестина (Г);X;X;X;X;X;X
ENG_203;Бермудские о-ва;X;X;X;X;X;X
ENG_2068;Замбези;X;X;X;X;X;X
GER_2530;Северная Новая Гвинея;X;X;X;X;X;X
AST_2528;Южная Новая Гвинея;X;X;X;X;X;X
EGY_1842;Дарфур;X;X;X;X;X;X
EGY_1838;Кордофан;X;X;X;X;X;X
EGY_913;Ливан (Г);X;X;X;X;X;X
BEL_1977;Центральное Конго;X;X;X;X;X;X
BEL_1987;Катанга;X;X;X;X;X;X
BEL_1990;Восточное Конго;X;X;X;X;X;X
BEL_1984;Касаи;X;X;X;X;X;X
POR_1999;Северная Ангола;X;X;X;X;X;X
ENG_1956;Южный Камерун;X;X;X;X;X;X
ENG_1960;Северный Камерун;X;X;X;X;X;X
ENG_1868;Сомалиленд;X;X;X;X;X;X
ENG_2026;Великая Рифтовая долина;X;X;X;X;X;X
ENG_2024;Кения;X;X;X;X;X;X
ENG_2019;Уганда;X;X;X;X;X;X
TRN_2108;Трансвааль;X;X;X;X;X;X
POR_2060;Мозамбик;X;X;X;X;X;X
FRA_1884;Сьерра-Леоне;X;X;X;X;X;X
FRA_1813;Нигер;X;X;X;X;X;X
FRA_1892;Берег Слоновой Кости;X;X;X;X;X;X
FRA_1893;Наветренное побережье;X;X;X;X;X;X
FRA_1788;Гамбия;X;X;X;X;X;X
FRA_1783;Сенегал;X;X;X;X;X;X
FRA_1775;Мавритания;X;X;X;X;X;X
MOR_1696;Западное Марокко;X;X;X;X;X;X
POR_2003;Южная Ангола;X;X;X;X;X;X
POR_2006;Восточная Ангола;X;X;X;X;X;X
ALD_1718;Сахара;X;X;X;X;X;X
ALD_1714;Западная Сахара;X;X;X;X;X;X
TRI_1739;Ливийская пустыня;X;X;X;X;X;X
EGY_1754;Ливия;X;X;X;X;X;X
FRA_1780;Внутренняя Мавритания;X;X;X;X;X;X
ORA_2103;Свободное Государство;X;X;X;X;X;X
ENG_2092;Северный Кап;X;X;X;X;X;X
ENG_2083;Намакваленд;X;X;X;X;X;X
ENG_2096;Южный Кап;X;X;X;X;X;X
ENG_2087;Капская Колония (Г);X;X;X;X;X;X
BEL_1992;Экватор;X;X;X;X;X;X
FRA_1978;Конго;X;X;X;X;X;X
MEC_530;Мекленбург (Г);X;X;X;X;X;X
DEN_251;Исландия и Гренландия;X;X;X;X;X;X
TRI_1743;Триполи;X;X;X;X;X;X
SPA_2517;Микронезия;X;X;X;X;X;X
BRZ_2446;Минас-Жерайс;X;X;X;X;X;X
CLM_2247;Каука (Г);X;X;X;X;X;X
ANN_1369;Тонкин (Г);X;X;X;X;X;X
ANN_1375;Аннам (Г);X;X;X;X;X;X
ANN_1380;Кохинхина (Г);X;X;X;X;X;X
LUA_1357;Лаос (Г);X;X;X;X;X;X
SIA_1392;Бангкок (Г);X;X;X;X;X;X
SIA_1355;Чиангмай;X;X;X;X;X;X
SIA_1358;Накхонратчасима;X;X;X;X;X;X
ENG_1384;Малайя (Г);X;X;X;X;X;X
ENG_1343;Западная Бенгалия (Г);X;X;X;X;X;X
ENG_1242;Джаунпур (Г);X;X;X;X;X;X
BUR_1339;Качин;X;X;X;X;X;X
BUR_1334;Шан;X;X;X;X;X;X
BUR_1330;Пегу (Г);X;X;X;X;X;X
NEP_1327;Гималайи;X;X;X;X;X;X
TIB_1591;Тибет;X;X;X;X;X;X
ENG_1247;Северный Бихар (Г);X;X;X;X;X;X
ENG_1248;Южный Бихар;X;X;X;X;X;X
ENG_1261;Ян-Майен;X;X;X;X;X;X
ENG_1236;Дели;X;X;X;X;X;X
ENG_1239;Меерут;X;X;X;X;X;X
PAN_1224;Кашмир;X;X;X;X;X;X
KAL_1288;Белуджистан (Г);X;X;X;X;X;X
SIN_1288;Синд;X;X;X;X;X;X
ENG_1291;Гуджарат (Г);X;X;X;X;X;X
ENG_1264;Раджпутана;X;X;X;X;X;X
ENG_1275;Джабалпур;X;X;X;X;X;X
ENG_1276;Индаур;X;X;X;X;X;X
NAG_1277;Нагпур;X;X;X;X;X;X
ENG_1305;Киркарс;X;X;X;X;X;X
HYD_1283;Хайдарабад (Г);X;X;X;X;X;X
ENG_1297;Бомбей (Г);X;X;X;X;X;X
ENG_1303;Гоа (Г);X;X;X;X;X;X
ENG_1304;Мадрас;X;X;X;X;X;X
MYS_1314;Майсур;X;X;X;X;X;X
ENG_1317;Траванкор;X;X;X;X;X;X
ATJ_1405;Ачех;X;X;X;X;X;X
NET_1398;Суматра;X;X;X;X;X;X
NET_1423;Борнео;X;X;X;X;X;X
NET_1449;Молуккские острова;X;X;X;X;X;X
NET_1451;Западная Новая Гвинея;X;X;X;X;X;X
BAL_1438;Зондские острова;X;X;X;X;X;X
BRU_1394;Северное Борнео;X;X;X;X;X;X
PER_1141;Ларистан-Систан;X;X;X;X;X;X
PER_1148;Хорасан;X;X;X;X;X;X
PER_1138;Хузестан;X;X;X;X;X;X
PER_1135;Фарс-Керман;X;X;X;X;X;X
PER_1127;Исфахан (Г);X;X;X;X;X;X
PER_1116;Гилян-Мазендеран;X;X;X;X;X;X
PER_1121;Иракаджеми (Г);X;X;X;X;X;X
PER_1112;Тебриз;X;X;X;X;X;X
PER_1122;Луристан;X;X;X;X;X;X
AFG_1214;Западный Афганистан (Г);X;X;X;X;X;X
AFG_1209;Восточный Афганистан (Г);X;X;X;X;X;X
RUS_1196;Туркмения;X;X;X;X;X;X
KHI_1191;Туркмения;X;X;X;X;X;X
BUK_1207;Таджикистан;X;X;X;X;X;X
KOK_1190;Киргизия;X;X;X;X;X;X
RUS_1182;Уральск;X;X;X;X;X;X
RUS_1184;Акмолинск;X;X;X;X;X;X
RUS_1185;Эстония;X;X;X;X;X;X
KOR_1624;Сеул (Г);X;X;X;X;X;X
KOR_1632;Пусан (Г);X;X;X;X;X;X
KOR_1627;Саривон;X;X;X;X;X;X
KOR_1619;Пхеньян (Г);X;X;X;X;X;X
JAP_1661;Кюсю (Г);X;X;X;X;X;X
JAP_1640;Тюгоку (Г);X;X;X;X;X;X
JAP_1665;Сикоку;X;X;X;X;X;X
JAP_1655;Южный Кансай (Г);X;X;X;X;X;X
JAP_1657;Северный Кансай (Г);X;X;X;X;X;X
JAP_1675;Тюбу;X;X;X;X;X;X
JAP_1645;Хокурику;X;X;X;X;X;X
JAP_1649;Канто (Г);X;X;X;X;X;X
JAP_1653;Косиньэцу;X;X;X;X;X;X
JAP_1654;Острова Бонин;X;X;X;X;X;X
JAP_1642;Хоккайдо;X;X;X;X;X;X
JAP_1088;Курильские острова;X;X;X;X;X;X
JAP_1672;Тохоку;X;X;X;X;X;X
JAP_1671;Токай;X;X;X;X;X;X
HAM_533;Гельголанд;X;X;X;X;X;X
RUS_1058;Тобольск (Г);X;X;X;X;X;X
RUS_1065;Обь;X;X;X;X;X;X
RUS_1064;Тобольск;X;X;X;X;X;X
RUS_1469;Томск;X;X;X;X;X;X
RUS_2615;Нижний Енисейск;X;X;X;X;X;X
RUS_1070;Высший Енисейск;X;X;X;X;X;X
RUS_1075;Иркутск;X;X;X;X;X;X
RUS_1079;Транс-Байкал;X;X;X;X;X;X
RUS_2694;Средняя Сибирь;X;X;X;X;X;X
RUS_1069;Западный Якутск;X;X;X;X;X;X
RUS_2653;Северная Сибирь;X;X;X;X;X;X
RUS_1071;Якутия;X;X;X;X;X;X
RUS_1072;Охотск;X;X;X;X;X;X
RUS_2668;Северный Якутск;X;X;X;X;X;X
RUS_2618;Верхний Охотск;X;X;X;X;X;X
RUS_2621;Внутренняя Чукотка;X;X;X;X;X;X
RUS_1074;Камчатка;X;X;X;X;X;X
RUS_2590;Прибрежная Чукотка;X;X;X;X;X;X
TUR_885;Карс;X;X;X;X;X;X
TUR_884;Трабзон;X;X;X;X;X;X
TUR_889;Диярбакыр-Ван;X;X;X;X;X;X
TUR_876;Османис (Г);X;X;X;X;X;X
TUR_873;Конья;X;X;X;X;X;X
TUR_881;Кастамону (Г);X;X;X;X;X;X
TUR_869;Айдын (Г);X;X;X;X;X;X
TUR_867;Хюдавендигар (Г);X;X;X;X;X;X
TUR_923;Кувейт;X;X;X;X;X;X
TUR_926;Ирак (Г);X;X;X;X;X;X
TUR_935;Басра (Г);X;X;X;X;X;X
EGY_897;Алеппо;X;X;X;X;X;X
EGY_910;Трансиордания;X;X;X;X;X;X
EGY_902;Сирия (Г);X;X;X;X;X;X
NEJ_1156;Хаиль;X;X;X;X;X;X
NEJ_1157;Неджд;X;X;X;X;X;X
EGY_1828;Суданец;X;X;X;X;X;X
EGY_1746;Синай;X;X;X;X;X;X
EGY_1745;Нижний Египет (Г);X;X;X;X;X;X
EGY_1762;Средний Египет (Г);X;X;X;X;X;X
EGY_1767;Верхний Египет (Г);X;X;X;X;X;X
EGY_1751;Матрух (Г);X;X;X;X;X;X
EGY_1758;Египетская пустыня;X;X;X;X;X;X
EGY_1834;Донгола;X;X;X;X;X;X
EGY_1827;Судан;X;X;X;X;X;X
ENG_1843;Экватория;X;X;X;X;X;X
ENG_1848;Эритрея;X;X;X;X;X;X
ETH_1854;Гондер-Тыграй;X;X;X;X;X;X
ETH_1864;Амхара;X;X;X;X;X;X
ETH_1867;Оромия;X;X;X;X;X;X
ALD_1708;Константина;X;X;X;X;X;X
FRA_1700;Алжир;X;X;X;X;X;X
ALD_1704;Тлемсен;X;X;X;X;X;X
MOR_1688;аль Риф;X;X;X;X;X;X
MOR_1686;Фес;X;X;X;X;X;X
MOR_1693;Марроко;X;X;X;X;X;X
FRA_1803;Тимбукту;X;X;X;X;X;X
FRA_1798;Восточная Мали;X;X;X;X;X;X
FRA_1801;Западная Мали;X;X;X;X;X;X
FRA_1901;Вольта;X;X;X;X;X;X
FRA_1808;Внешний Хаусаленд;X;X;X;X;X;X
FRA_1923;Йоруба;X;X;X;X;X;X
FRA_1927;Хаусаленд;X;X;X;X;X;X
FRA_1939;Восточный Хаусаленд;X;X;X;X;X;X
FRA_1930;Варри;X;X;X;X;X;X
FRA_1931;Дельта Нигера;X;X;X;X;X;X
FRA_1937;Нигерия;X;X;X;X;X;X
FRA_1816;Борно;X;X;X;X;X;X
ENG_1825;Чад;X;X;X;X;X;X
ENG_1818;Вадаи;X;X;X;X;X;X
FRA_1965;Убанги-Шари;X;X;X;X;X;X
ENG_2029;Занзибар;X;X;X;X;X;X
ENG_2034;Танганьика;X;X;X;X;X;X
ENG_2039;Линди;X;X;X;X;X;X
ENG_2016;Казембе;X;X;X;X;X;X
POR_2053;Замбезия;X;X;X;X;X;X
POR_2049;Лоренсу-Маркиш;X;X;X;X;X;X
ZUL_2113;Натал-Зулуленд;X;X;X;X;X;X
ENG_2078;Герероленд;X;X;X;X;X;X
ENG_2132;Южноатлантические острова;X;X;X;X;X;X
ENG_2125;Территория Индийского океана;X;X;X;X;X;X
MAD_2117;Мадагаскар;X;X;X;X;X;X
MAD_2121;Мадагаскар;X;X;X;X;X;X
BOL_2314;Потоси;X;X;X;X;X;X
USA_218;Западная Виргиния;X;X;X;X;X;X
USA_219;Мэриленд;X;X;X;X;X;X
AUS_734;Южный Тироль;X;X;X;X;X;X
