# Справочник палитры terrain.bmp (mod 5)
# Источник RGB: встроенная палитра map/terrain.bmp (8-bit indexed)
# Связь с игрой: map/terrain.txt -> text_N (color = { N }) -> categories.type
# categories.color — отдельный RGB для 3D/стратегической карты, НЕ палитра BMP
#
# index | R | G | B | hex     | text_N type      | categories RGB (если есть)
# ------+---+---+---+---------+------------------+---------------------------
  0 | 236 | 236 | 236 | #ECECEC | arctic           | (235,235,235)
  1 | 210 | 210 | 210 | #D2D2D2 | arctic           | (235,235,235)
  2 | 176 | 176 | 176 | #B0B0B0 | arctic           | (235,235,235)
  3 | 140 | 140 | 140 | #8C8C8C | arctic           | (235,235,235)
  4 | 112 | 112 | 112 | #707070 | arctic           | (235,235,235)
  5 |  86 |  86 |  86 | #565656 | plains           | (241,221,184)
  6 |  78 |  78 |  78 | #4E4E4E | plains           | (241,221,184)
  7 |  56 |  56 |  56 | #383838 | plains           | (241,221,184)
  8 | 152 | 211 | 131 | #98D383 | farmlands        | (137,104,165)
  9 | 134 | 191 |  92 | #86BF5C | farmlands        | (137,104,165)
 10 | 111 | 162 |  57 | #6FA239 | farmlands        | (137,104,165)
 11 |  86 | 124 |  27 | #567C1B | farmlands        | (137,104,165)
 12 |  64 |  97 |  12 | #40610C | forest           | (91,123,45)
 13 |  76 |  86 |   4 | #4C5604 | forest           | (91,123,45)
 14 |  39 |  66 |   0 | #274200 | forest           | (91,123,45)
 15 |  33 |  40 |   0 | #212800 | forest           | (91,123,45)
 16 | 160 | 212 | 220 | #A0D4DC | hills            | (135,70,0)
 17 | 120 | 180 | 202 | #78B4CA | hills            | (135,70,0)
 18 |  75 | 147 | 174 | #4B93AE | hills            | (135,70,0)
 19 |  45 | 119 | 146 | #2D7792 | hills            | (135,70,0)
 20 |  37 |  96 | 126 | #25607E | woods            | (165,205,108)
 21 |  15 |  63 |  90 | #0F3F5A | woods            | (165,205,108)
 22 |   6 |  41 |  78 | #06294E | woods            | (165,205,108)
 23 |   2 |  20 |  41 | #021429 | woods            | (165,205,108)
 24 | 235 | 179 | 233 | #EBB3E9 | mountain         | (117,108,119)
 25 | 213 | 144 | 199 | #D590C7 | mountain         | (117,108,119)
 26 | 181 | 111 | 177 | #B56FB1 | mountain         | (117,108,119)
 27 | 180 |  86 | 179 | #B456B3 | mountain         | (117,108,119)
 28 | 192 |  90 | 117 | #C05A75 | mountain         | (117,108,119)
 29 | 173 |  59 |  83 | #AD3B53 | mountain         | (117,108,119)
 30 | 162 |  39 |  83 | #A22753 | mountain         | (117,108,119)
 31 | 127 |  24 |  60 | #7F183C | mountain         | (117,108,119)
 32 | 231 |  32 |  55 | #E72037 | plains           | (241,221,184)
 33 | 179 |  11 |  27 | #B30B1B | plains           | (241,221,184)
 34 | 138 |  11 |  26 | #8A0B1A | plains           | (241,221,184)
 35 | 117 |  11 |  16 | #750B10 | plains           | (241,221,184)
 36 |  99 |   7 |  11 | #63070B | steppe           | (211,201,184)
 37 |  82 |   4 |   8 | #520408 | steppe           | (211,201,184)
 38 |  62 |   2 |   5 | #3E0205 | steppe           | (211,201,184)
 39 |  39 |   0 |   2 | #270002 | steppe           | (211,201,184)
 40 | 118 | 245 | 217 | #76F5D9 | jungle           | (32,151,0)
 41 |  97 | 220 | 193 | #61DCC1 | jungle           | (32,151,0)
 42 |  56 | 199 | 167 | #38C7A7 | jungle           | (32,151,0)
 43 |  48 | 175 | 147 | #30AF93 | jungle           | (32,151,0)
 44 |  31 | 154 | 127 | #1F9A7F | marsh            | (76,112,105)
 45 |  16 | 122 |  99 | #107A63 | marsh            | (76,112,105)
 46 |   2 |  94 |  74 | #025E4A | marsh            | (76,112,105)
 47 |   0 |  73 |  57 | #004939 | marsh            | (76,112,105)
 48 | 241 | 210 | 151 | #F1D297 | desert           | (218,195,0)
 49 | 225 | 192 | 130 | #E1C082 | desert           | (218,195,0)
 50 | 206 | 169 |  99 | #CEA963 | desert           | (218,195,0)
 51 | 172 | 136 |  67 | #AC8843 | desert           | (218,195,0)
 52 | 150 | 113 |  41 | #967129 | coastal_desert   | (208,155,0)
 53 | 123 |  90 |  27 | #7B5A1B | coastal_desert   | (208,155,0)
 54 | 101 |  71 |  15 | #65470F | coastal_desert   | (208,155,0)
 55 |  73 |  50 |   6 | #493206 | coastal_desert   | (208,155,0)
 56 | 156 | 139 | 228 | #9C8BE4 | urban            | (0,0,0)
 57 | 136 | 119 | 210 | #8877D2 | mountain         | (117,108,119)
 58 | 117 |  99 | 194 | #7563C2 | mountain         | (117,108,119)
 59 |  80 |  65 | 146 | #504192 | mountain         | (117,108,119)
 60 |  65 |  52 | 121 | #413479 | mountain         | (117,108,119)
 61 |  45 |  34 |  95 | #2D225F | mountain         | (117,108,119)
 62 |  26 |  17 |  67 | #1A1143 | mountain         | (117,108,119)
 63 |  16 |  11 |  41 | #100B29 | mountain         | (117,108,119)
 64 | 255 | 234 |   0 | #FFEA00 | urban            | (0,0,0)
 65 | 255 | 236 |  71 | #FFEC47 | urban            | (0,0,0)
 66 | 255 | 241 | 123 | #FFF17B | urban            | (0,0,0)
 67 | 195 | 187 |  95 | #C3BB5F | urban            | (0,0,0)
 68 | 181 | 163 |  40 | #B5A328 | urban            | (0,0,0)
 69 | 188 | 170 |  24 | #BCAA18 | urban            | (0,0,0)
 70 | 218 | 195 |   0 | #DAC300 | urban            | (0,0,0)
 71 | 185 | 164 | 102 | #B9A466 | urban            | (0,0,0)
 72 | 138 |  79 |  32 | #8A4F20 | -                | 
 73 | 116 |  66 |  21 | #744215 | -                | 
 74 |  84 |  46 |  12 | #542E0C | -                | 
 75 |  59 |  39 |  21 | #3B2715 | -                | 
 76 |  37 |  23 |  10 | #25170A | -                | 
 77 | 124 |  66 |  14 | #7C420E | -                | 
 78 |  60 |  42 |  26 | #3C2A1A | -                | 
 79 | 121 |  59 |   2 | #793B02 | -                | 
 80 |  91 |  12 | 158 | #5B0C9E | -                | 
 81 |  77 |  10 | 133 | #4D0A85 | -                | 
 82 |  58 |  14 |  95 | #3A0E5F | -                | 
 83 |  38 |  12 |  60 | #260C3C | -                | 
 84 |  84 |  33 | 127 | #54217F | -                | 
 85 |  58 |  31 |  81 | #3A1F51 | -                | 
 86 |  73 |  45 |  97 | #492D61 | -                | 
 87 |  77 |  62 |  90 | #4D3E5A | -                | 
 88 | 224 | 184 | 184 | #E0B8B8 | -                | 
 89 | 203 | 164 | 164 | #CBA4A4 | -                | 
 90 | 187 | 147 | 147 | #BB9393 | -                | 
